Name,Affiliation,Born,Fighting out of
Anthony Christodoulou,Renzo Gracie Brooklyn,"Glyfáda, Greece","New York, New York"
Mike Ciesnolevicz,Miletich Fighting Systems,"Harrisburg, Pennsylvania, United States","Bettendorf, Iowa"
Hannah Cifers,Embrace Martial Arts,"Oxford, North Carolina","Wake Forest, North Carolina"
Misha Cirkunov,Xtreme Couture Toronto,"Riga, Latvia","Toronto, Ontario"
Heather Clark,,United States,"Las Vegas, Nevada"
Devin Clark,,"Sioux Falls, South Dakota, United States","Albuquerque, New Mexico"
Jessica-Rose Clark,Combat Sports Academy,"Innisfail, Australia","Las Vegas, Nevada"
Mitch Clarke,Hayabusa Training Centre,"Saskatoon, Saskatchewan, Canada","Edmonton, Alberta"
Rich Clementi,Team Voodoo,"Edison, New Jersey, United States","Slidell, Lousiana"
Chris Clements,Adrenaline MMA Training & Fitness,"Chatham, Ontario, Canada","London, Ontario"
Josh Clopton,El Niño Training Center,"Columbus, Mississippi, United States","Pacifica, California"
Brian Cobb,Eric Nolan's Xtreme Training Center,United States,United States
John Cofer,Team Alpha Male,"Savannah, Georgia, United States","Athens, Georgia"
Felipe Colares,Team Nogueira,"Macapa, Amapa, Brazil","Macapa, Amapa, Brazil"
Mark Coleman,,"Fremont, Ohio, United States","Columbus, Ohio, USA"
Clay Collard,,United States,"Las Vegas, Nevada, USA"
Jake Collier,No Excuses MMA,USA,USA
Christian Colombo,CSA.dk,Denmark,Denmark
Carlos Condit,Jackson Wink MMA,"Albuquerque, New Mexico, United States","Albuquerque, New Mexico"
Tristan Connelly,Checkmat Vancouver,"Victoria, British Columbia, Canada","Vancouver, British Columbia"
Amanda Cooper,Scorpion Fighting System,"Lansing, Michigan, United States","Fowlerville, Michigan, United States"
Chris Cope,The Arena MMA,"Carmel Valley, California, United States","San Diego, California"
Josh Copeland,Elevation Fight Team,United States,"Denver, Colorado"
Akira Corassani,Team Kaobon Liverpool,"Gothenburg, Sweden","New York City, New York"
Daniel Cormier,American Kickboxing Academy,"Lafayette, Louisiana, United States","San Jose, California"
Bethe Correia,Pitbull Brothers,"Campina Grande, Paraiba, Brazil","Natal, Rio Grande do Norte, Brazil"
Tracy Cortez,,"Phoenix, Arizona","Scottsdale, Arizona"
Paulo Costa,Team Borracha,"Belo Horizonte, Minas Gerais, Brazil","Belo Horizonte, Minas Gerais, Brazil"
Randy Costa,Lauzon Mixed Martial Arts,United States,"Taunton, Massachusetts"
Patrick Cote,Brazilian Top Team Canada,"Rimouski, Quebec, Canada","Montreal, Quebec"
JC Cottrell,,"Oklahoma City, Oklahoma","Oklahoma City, Oklahoma"
Rashad Coulter,Fortis MMA,United States,"Dallas, Texas"
Randy Couture,Xtreme Couture,"Everett, Washington, United States","Las Vegas, Nevada"
Ryan Couture,Xtreme Couture,"Edmonds, Washington, United States","Las Vegas, Nevada"
Colby Covington,MMA Masters,United States,"Fort Lauderdale, Florida"
Jeff Cox,Strong Style Fight Team,USA,USA
Nathan Coy,American Top Team,United States,"Coconut Creek, Florida"
Andrew Craig,American Combative Systems,"Austin, Texas, United States","Houston, Texas"
Paul Craig,Scottish Hit Squad,"Airdrie, Scotland","Coatbridge, Scotland"
Dan Cramer,American Top Team,"Bethel, Connecticut, United States","Coconut Creek, Florida"
Alberto Crane,,United States,"Santa Fe, New Mexico, USA"
Tim Credeur,Gladiators Academy,"Lafayette, Louisiana, United States","Breaux Bridge, Louisiana"
Kevin Croom,,"Columbia, Missouri, United States","Kansas City, Missouri"
Allen Crowder,New Millenium Martial Arts & Conditioning,United States,"Mebane, North Carolina, United States"
Daron Cruickshank,Michigan Top Team,"Westland, Michigan","Detroit, Michigan"
Jimmy Crute,Greco and Stewies house,Australia,"Melbourne, Victoria, Australia"
Marcio Cruz,Kings MMA,"Rio de Janeiro, Brazil","Tampa, Florida"
Dominick Cruz,Alliance MMA,"San Diego, California","San Diego, California"
Aalon Cruz,DEFWAR,"Tampa, Florida","Tampa, Florida"
Jay Cucciniello,Team Barnatt gym,England,"Malaga, Spain"
Josh Culibao,Igor MMA,Australia,"Sydney, New South Wales"
Zak Cummings,Springfield Fight Club,"Kansas City, Missouri","Kansas City, Missouri"
Patrick Cummins,Reign MMA,United States,"Dana Point, California"
Luke Cummo,Serra Jiu-Jitsu,United States,"New Hyde Park, New York"
Jeff Curran,Team Curran MMA,"Woodstock, Illinois, United States","Island Lake, Illinois"
Kailin Curran,Reign MMA,United States,"Ewa Beach, Hawaii"
Ion Cutelaba,CSA Moldova,"Chișinău, Moldova","Chișinău, Moldova"
Henrique da Silva,Hard Fight,USA,USA
Alex Da Silva,Astra Fight Team,Brazil,"Balneario Camboriu, Santa Catarina, Brazil"
Nicolas Dalby,Rumble Sports,Denmark,"Copenhagen, Denmark"
Paul Daley,Team Rough House,"London, England","Nottingham, England"
Aisling Daly,Straight Blast Gym Ireland,Ireland,"Dublin, Leinster, Ireland"
Rodrigo Damm,Alliance Jiu-Jitsu,"Afonso Claudio, Espirito Santo, Brazil","Vila Velha, Espirito Santo, Brazil"
